"WBXF039.Code.or.Value","WBXF039.Value.Description","WBXF039.Count","WBXF039.Cumulative","WBXF039.Skip.to.Item"
"1122.462 to 1122.462","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
