"OPXSHEME.Code.or.Value","OPXSHEME.Value.Description","OPXSHEME.Count","OPXSHEME.Cumulative","OPXSHEME.Skip.to.Item"
"0","No",397,397,NA
"1","Yes",7,404,NA
"2","Maybe",3,407,NA
"3","Ungradable",7,414,NA
".","Missing",3449,3863,NA
