"DBQ073A.Code.or.Value","DBQ073A.Value.Description","DBQ073A.Count","DBQ073A.Cumulative","DBQ073A.Skip.to.Item"
"10","Whole or regular milk",824,824,NA
"77","Refused",2,826,NA
"99","Don't know",3,829,NA
".","Missing",8425,9254,NA
