"DX2TOA.Code.or.Value","DX2TOA.Value.Description","DX2TOA.Count","DX2TOA.Cumulative","DX2TOA.Skip.to.Item"
"1478.61 to 2761.95","Range of Values",414,414,NA
".","Missing",71,485,NA
