"WTSVOC4Y.Code.or.Value","WTSVOC4Y.Value.Description","WTSVOC4Y.Count","WTSVOC4Y.Cumulative","WTSVOC4Y.Skip.to.Item"
"0 to 345630.72173","Range of Values",1449,1449,NA
".","Missing",0,1449,NA
