"WTSPH47.Code.or.Value","WTSPH47.Value.Description","WTSPH47.Count","WTSPH47.Cumulative","WTSPH47.Skip.to.Item"
"0 to 748407.58193","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
