"LBCPCB.Code.or.Value","LBCPCB.Value.Description","LBCPCB.Count","LBCPCB.Cumulative","LBCPCB.Skip.to.Item"
"3.253 to 680","Range of Values",294,294,NA
".","Missing",7,301,NA
