"DXXPT80X.Code.or.Value","DXXPT80X.Value.Description","DXXPT80X.Count","DXXPT80X.Cumulative","DXXPT80X.Skip.to.Item"
"664.1 to 1194.7","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
