"RFXT039.Code.or.Value","RFXT039.Value.Description","RFXT039.Count","RFXT039.Cumulative","RFXT039.Skip.to.Item"
"327 to 336","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
