"LBXBR8LA.Code.or.Value","LBXBR8LA.Value.Description","LBXBR8LA.Count","LBXBR8LA.Cumulative","LBXBR8LA.Skip.to.Item"
"0.1 to 40.5","Range of Values",2014,2014,NA
".","Missing",323,2337,NA
