"WTMREP18.Code.or.Value","WTMREP18.Value.Description","WTMREP18.Count","WTMREP18.Cumulative","WTMREP18.Skip.to.Item"
"0 to 261367.45269","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
