"UR2UMA.Code.or.Value","UR2UMA.Value.Description","UR2UMA.Count","UR2UMA.Cumulative","UR2UMA.Skip.to.Item"
"0.5 to 3340","Range of Values",549,549,NA
".","Missing",6,555,NA
