"DXXGYTOM.Code.or.Value","DXXGYTOM.Value.Description","DXXGYTOM.Count","DXXGYTOM.Cumulative","DXXGYTOM.Skip.to.Item"
"2183.9 to 30634.5","Range of Values",4059,4059,NA
".","Missing",1055,5114,NA
