"WBXP102.Code.or.Value","WBXP102.Value.Description","WBXP102.Count","WBXP102.Cumulative","WBXP102.Skip.to.Item"
"-155.8151 to 172.5658","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
