"LBX110.Code.or.Value","LBX110.Value.Description","LBX110.Count","LBX110.Cumulative","LBX110.Skip.to.Item"
"0.0009 to 0.3408","Range of Values",1882,1882,NA
".","Missing",403,2285,NA
