"LBXMEA.Code.or.Value","LBXMEA.Value.Description","LBXMEA.Count","LBXMEA.Cumulative","LBXMEA.Skip.to.Item"
"0.028 to 9.71","Range of Values",5054,5054,NA
".","Missing",598,5652,NA
