"LB2TCSI.Code.or.Value","LB2TCSI.Value.Description","LB2TCSI.Count","LB2TCSI.Cumulative","LB2TCSI.Skip.to.Item"
"1.94 to 8.71","Range of Values",542,542,NA
".","Missing",2,544,NA
