"OHQ490c.Code.or.Value","OHQ490c.Value.Description","OHQ490c.Count","OHQ490c.Cumulative","OHQ490c.Skip.to.Item"
"1","Checked",897,897,NA
"77","Refused",0,897,NA
"99","Don't know",8,905,NA
".","Missing",7942,8847,NA
