"RHQ310.Code.or.Value","RHQ310.Value.Description","RHQ310.Count","RHQ310.Cumulative","RHQ310.Skip.to.Item"
"1","Both",213,213,""
"2","One",104,317,"RHQ330"
"7","Refused",0,317,"RHQ355"
"9","Don't know",8,325,"RHQ355"
".","Missing",3272,3597,""
