"RFXT148.Code.or.Value","RFXT148.Value.Description","RFXT148.Count","RFXT148.Cumulative","RFXT148.Skip.to.Item"
"1291 to 1300","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
