"SSBCPPL.Code.or.Value","SSBCPPL.Value.Description","SSBCPPL.Count","SSBCPPL.Cumulative","SSBCPPL.Skip.to.Item"
"0","At or above the detection limit",1385,1385,NA
"1","Below lower detection limit",1045,2430,NA
".","Missing",0,2430,NA
