"LBXMV1.Code.or.Value","LBXMV1.Value.Description","LBXMV1.Count","LBXMV1.Cumulative","LBXMV1.Skip.to.Item"
"1","Sensitive",370,370,NA
"2","Resistant",0,370,NA
"3","Intermediate",0,370,NA
"4","No Result",0,370,NA
".","Missing",8809,9179,NA
