"FSD190.Code.or.Value","FSD190.Value.Description","FSD190.Count","FSD190.Cumulative","FSD190.Skip.to.Item"
"2 to 12","Range of Values",872,872,NA
"1","1 month or less",59,931,NA
"77","Refused",1,932,NA
"99","Don't know",6,938,NA
".","Missing",9410,10348,NA
