"URXMB3.Code.or.Value","URXMB3.Value.Description","URXMB3.Count","URXMB3.Cumulative","URXMB3.Skip.to.Item"
"0.424 to 444","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
