"URX3TB.Code.or.Value","URX3TB.Value.Description","URX3TB.Count","URX3TB.Cumulative","URX3TB.Skip.to.Item"
"0.35 to 21.3","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
