"DXXAL4.Code.or.Value","DXXAL4.Value.Description","DXXAL4.Count","DXXAL4.Cumulative","DXXAL4.Skip.to.Item"
"0 to 3","Range of Values",3150,3150,NA
".","Missing",558,3708,NA
