"PSQ140.Code.or.Value","PSQ140.Value.Description","PSQ140.Count","PSQ140.Cumulative","PSQ140.Skip.to.Item"
"1","Yes",21,21,""
"2","No",1,22,"PSQ180"
"7","Refused",0,22,"PSQ180"
"9","Don't know",1,23,""
".","Missing",29,52,""
