"AUDTYR33.Code.or.Value","AUDTYR33.Value.Description","AUDTYR33.Count","AUDTYR33.Cumulative","AUDTYR33.Skip.to.Item"
"0 to 2","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
