"SSNDSPSG.Code.or.Value","SSNDSPSG.Value.Description","SSNDSPSG.Count","SSNDSPSG.Cumulative","SSNDSPSG.Skip.to.Item"
"0 to 3","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
