"URDOP5LC.Code.or.Value","URDOP5LC.Value.Description","URDOP5LC.Count","URDOP5LC.Cumulative","URDOP5LC.Skip.to.Item"
"0","At or above the detection limit",1476,1476,NA
"1","Below lower detection limit",1328,2804,NA
".","Missing",182,2986,NA
