"RFXT019.Code.or.Value","RFXT019.Value.Description","RFXT019.Count","RFXT019.Cumulative","RFXT019.Skip.to.Item"
"150 to 159","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
