"WBXP032.Code.or.Value","WBXP032.Value.Description","WBXP032.Count","WBXP032.Cumulative","WBXP032.Skip.to.Item"
"-37.4135 to 146.3569","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
