"INQ060.Code.or.Value","INQ060.Value.Description","INQ060.Count","INQ060.Cumulative","INQ060.Skip.to.Item"
"1","Yes",733,733,NA
"2","No",7997,8730,NA
"7","Refused",23,8753,NA
"9","Don't know",27,8780,NA
".","Missing",474,9254,NA
