"TYXP157.Code.or.Value","TYXP157.Value.Description","TYXP157.Count","TYXP157.Cumulative","TYXP157.Skip.to.Item"
"-292 to 192","Range of Values",2527,2527,NA
".","Missing",3058,5585,NA
