"OHAROCOH.Code.or.Value","OHAROCOH.Value.Description","OHAROCOH.Count","OHAROCOH.Cumulative","OHAROCOH.Skip.to.Item"
"1","Yes",1384,1384,NA
"2","No",1,1385,NA
".","Missing",6981,8366,NA
