"OSQ120j.Code.or.Value","OSQ120j.Value.Description","OSQ120j.Count","OSQ120j.Cumulative","OSQ120j.Skip.to.Item"
"1","Yes",8,8,""
"2","No",0,8,"OSQ060"
"7","Refused",0,8,"OSQ060"
"9","Don't know",0,8,"OSQ060"
".","Missing",3061,3069,""
