"URDOPMLC.Code.or.Value","URDOPMLC.Value.Description","URDOPMLC.Count","URDOPMLC.Cumulative","URDOPMLC.Skip.to.Item"
"0","At or above the detection limit",2368,2368,NA
"1","Below lower detection limit",259,2627,NA
".","Missing",132,2759,NA
