"DXXOFA.Code.or.Value","DXXOFA.Value.Description","DXXOFA.Count","DXXOFA.Cumulative","DXXOFA.Skip.to.Item"
"24.29 to 61.57","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
