"WTSCI08.Code.or.Value","WTSCI08.Value.Description","WTSCI08.Count","WTSCI08.Cumulative","WTSCI08.Skip.to.Item"
"0 to 467829.57163","Range of Values",727,727,NA
".","Missing",51,778,NA
