"HUQ082.Code.or.Value","HUQ082.Value.Description","HUQ082.Count","HUQ082.Cumulative","HUQ082.Skip.to.Item"
"1","Yes",83,83,""
"2","No",9561,9644,"HUQ086"
"7","Refused",0,9644,"HUQ086"
"9","Don't know",1,9645,"HUQ086"
".","Missing",477,10122,""
