"BIXC035K.Code.or.Value","BIXC035K.Value.Description","BIXC035K.Count","BIXC035K.Cumulative","BIXC035K.Skip.to.Item"
"29.1 to 238.85","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
