"WBXA072.Code.or.Value","WBXA072.Value.Description","WBXA072.Count","WBXA072.Cumulative","WBXA072.Skip.to.Item"
"-0.2474 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
