"URXVOL1.Code.or.Value","URXVOL1.Value.Description","URXVOL1.Count","URXVOL1.Cumulative","URXVOL1.Skip.to.Item"
"0 to 455","Range of Values",7636,7636,NA
".","Missing",300,7936,NA
