"TYXP005.Code.or.Value","TYXP005.Value.Description","TYXP005.Count","TYXP005.Cumulative","TYXP005.Skip.to.Item"
"145 to 199","Range of Values",5585,5585,NA
".","Missing",0,5585,NA
