"CVDS1G.Code.or.Value","CVDS1G.Value.Description","CVDS1G.Count","CVDS1G.Cumulative","CVDS1G.Skip.to.Item"
"0.5 to 8.5","Range of Values",3187,3187,NA
".","Missing",1476,4663,NA
