"OPDUSDD.Code.or.Value","OPDUSDD.Value.Description","OPDUSDD.Count","OPDUSDD.Cumulative","OPDUSDD.Skip.to.Item"
"0","No",2666,2666,NA
"1","Yes",533,3199,NA
".","Missing",664,3863,NA
