"DBD940.Code.or.Value","DBD940.Value.Description","DBD940.Count","DBD940.Cumulative","DBD940.Skip.to.Item"
"1","Yes",1408,1408,NA
"2","No",248,1656,NA
"7","Refused",0,1656,NA
"9","Don't know",0,1656,NA
".","Missing",389,2045,NA
