"CFDCSR.Code.or.Value","CFDCSR.Value.Description","CFDCSR.Count","CFDCSR.Cumulative","CFDCSR.Skip.to.Item"
"0 to 10","Range of Values",1672,1672,NA
".","Missing",113,1785,NA
