"CBD111.Code.or.Value","CBD111.Value.Description","CBD111.Count","CBD111.Cumulative","CBD111.Skip.to.Item"
"0 to 3000","Range of Values",8641,8641,NA
"8400","8400 and over",0,8641,NA
"777777","Refused",11,8652,NA
"999999","Don't know",128,8780,NA
".","Missing",474,9254,NA
