"SEPAHLC.Code.or.Value","SEPAHLC.Value.Description","SEPAHLC.Count","SEPAHLC.Cumulative","SEPAHLC.Skip.to.Item"
"0","At or above the detection limit",1352,1352,NA
"1","Below lower detection limit",104,1456,NA
".","Missing",0,1456,NA
