"DEALOLEG.Code.or.Value","DEALOLEG.Value.Description","DEALOLEG.Count","DEALOLEG.Cumulative","DEALOLEG.Skip.to.Item"
"1","Captured",2692,2692,NA
"2","Not Captured",7,2699,NA
".","Missing",293,2992,NA
