"SMD233.Code.or.Value","SMD233.Value.Description","SMD233.Count","SMD233.Cumulative","SMD233.Skip.to.Item"
"1 to 20","Range of Values",31,31,NA
"777","Refused",0,31,NA
"999","Don't know",2,33,NA
".","Missing",5008,5041,NA
