"WTMREP26.Code.or.Value","WTMREP26.Value.Description","WTMREP26.Count","WTMREP26.Cumulative","WTMREP26.Skip.to.Item"
"0 to 259973.96856","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
