"LBC101LA.Code.or.Value","LBC101LA.Value.Description","LBC101LA.Count","LBC101LA.Cumulative","LBC101LA.Skip.to.Item"
"0.1 to 4.4","Range of Values",264,264,NA
".","Missing",0,264,NA
