"URXBPM.Code.or.Value","URXBPM.Value.Description","URXBPM.Count","URXBPM.Cumulative","URXBPM.Skip.to.Item"
"0.85 to 719","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
