"WHD160.Code.or.Value","WHD160.Value.Description","WHD160.Count","WHD160.Cumulative","WHD160.Skip.to.Item"
"60 to 345","Range of Values",4874,4874,NA
"77777","Refused",1,4875,NA
"99999","Don't know",279,5154,NA
".","Missing",890,6044,NA
