"LBDBR11C.Code.or.Value","LBDBR11C.Value.Description","LBDBR11C.Count","LBDBR11C.Cumulative","LBDBR11C.Skip.to.Item"
"0","At or above the detection limit",255,255,NA
"1","Below lower detection limit",10,265,NA
".","Missing",0,265,NA
