"DR2_020.Code.or.Value","DR2_020.Value.Description","DR2_020.Count","DR2_020.Cumulative","DR2_020.Skip.to.Item"
"0 to 86340","Range of Values",93500,93500,NA
".","Missing",0,93500,NA
