"OSQ090d.Code.or.Value","OSQ090d.Value.Description","OSQ090d.Count","OSQ090d.Cumulative","OSQ090d.Skip.to.Item"
"1","Yes",33,33,"OSQ120d"
"2","No",4,37,""
"7","Refused",0,37,"OSQ120d"
"9","Don't know",0,37,"OSQ120d"
".","Missing",3032,3069,""
