"WTSPP24.Code.or.Value","WTSPP24.Value.Description","WTSPP24.Count","WTSPP24.Cumulative","WTSPP24.Skip.to.Item"
"0 to 845035.07849","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
