"SSKL_R.Code.or.Value","SSKL_R.Value.Description","SSKL_R.Count","SSKL_R.Cumulative","SSKL_R.Skip.to.Item"
"0.0046 to 48.4","Range of Values",194,194,NA
".","Missing",1895,2089,NA
