"CVDWSY.Code.or.Value","CVDWSY.Value.Description","CVDWSY.Count","CVDWSY.Cumulative","CVDWSY.Skip.to.Item"
"62 to 205","Range of Values",2798,2798,NA
".","Missing",1865,4663,NA
