"BPQ140.Code.or.Value","BPQ140.Value.Description","BPQ140.Count","BPQ140.Cumulative","BPQ140.Skip.to.Item"
"1","Yes",104,104,NA
"2","No",318,422,NA
"7","Refused",0,422,NA
"9","Don't know",1,423,NA
".","Missing",5621,6044,NA
