"RFXT122.Code.or.Value","RFXT122.Value.Description","RFXT122.Count","RFXT122.Cumulative","RFXT122.Skip.to.Item"
"1061 to 1070","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
